dataset_id,physical_path,archive_group,status,allowed_use,forbidden_use,consumption_note,evidence
dads_raw_source,date/DADS,current_internal,FROZEN_SOURCE,"按登记协议重新生成内部数据；复现实验","直接作为独立外部测试；绕过分组与内容去重","DADS 来源池已被当前及历史实验使用","docs/DADS历史测试口径更正与G7精确内容泄漏修复重训报告.md"
dads_historical_1s,artifacts_full,historical_internal,SEALED_SUPERSEDED,"历史复现；泄漏审计","新的主训练、主测试或最终结论","旧版 1 秒切片和内部 Test 已使用，存在历史时间捷径/重复风险","artifacts_full/manifests/dads_all_seed42.csv"
dads_raw_dedup_v2,artifacts/dads_dedup_v2,historical_internal,SEALED_SUPERSEDED,"历史审计；数据来源追踪","新的主基线或最终测试","完成原始 WAV 去重审计但仍保留旧 1 秒构造口径","artifacts/dads_dedup_v2/audit.json"
dads_segment_guarded_v3,artifacts/dads_segment_guarded_v3,historical_internal,SEALED_INTERMEDIATE,"消融；历史审计","替代当前 0.5 秒基线；独立外部测试","分组去重的中间方案，仍属于历史 1 秒数据池","artifacts/dads_segment_guarded_v3/audit.json"
dads_native_halfsec_v2,artifacts/g7_leakage_fixed_v2/data,current_internal,ACTIVE_INTERNAL_BASELINE,"G7 内部训练、验证、内部测试和复现","外部泛化结论；把已使用 Test 当作未来新测试","当前修正基线；内部 Test 已完成三随机种子报告","artifacts/g7_leakage_fixed_v2/data/audit.json; artifacts/g7_leakage_fixed_v2/runs/multiseed_aggregate.json"
val_ood,artifacts/val_ood,consumed_external,SEALED_CONSUMED_DEVELOPMENT,"历史诊断；复现原报告","新的阈值选择或全新最终测试","Tune 和 Holdout 均已查看并用于工程判断","artifacts/val_ood/manifests"
external_realworld_unseen,artifacts/external_evaluation,consumed_external,SEALED_CONSUMED_EVALUATION,"历史外部结果复现；误差分析","再次作为未见最终测试集","real_world 与 unseen 结果均已生成和查看","artifacts/external_evaluation/manifests"
g11_dual_mode,artifacts/g11_final_dual_mode,consumed_external,SEALED_CONSUMED_EVALUATION,"历史双模式评估复现","全新独立测试声明","已作为 G11 最终双模式评估使用","artifacts/g11_final_dual_mode"
external_confirmation_v2,data/external_confirmation_v2,consumed_external,SEALED_CONSUMED_CONFIRMATION,"G13 历史确认实验复现","新的最终确认集","AeroSonicDB、DDL、UaVirBASE 已进入 G13 流程","data/external_confirmation_v2/source_registry.csv; artifacts/g13_external_confirmation"
g14_domain_generalization,data/g14_domain_generalization,consumed_external,SEALED_CONSUMED_DEVELOPMENT,"G14-G17 历史开发和跨域分析","全新的域泛化最终测试","Kielce、NASA SUAS、TAU 等来源已用于域泛化开发/评估","artifacts/g14_domain_generalization/intake/candidate_registry.csv"
idmt_traffic,data/g7_cross_domain,consumed_external,SEALED_CONSUMED_DEVELOPMENT,"G7 R0/R1 历史跨域开发复现","全新的独立道路噪声测试","IDMT Traffic 已用于校准、开发测试及结构化麦克风实验","artifacts/g7_improvement/stage_a/idmt_traffic_manifest.csv"
kielce_model_id,artifacts/g18_model_identification,consumed_external,SEALED_CONSUMED_MODEL_ID,"G18-G22 型号识别复现和误差分析","新的未见型号或最终型号测试","Known/Unknown tune/holdout 均已用于系列实验；录音者和会话条件有限","artifacts/g18_model_identification/p0_registry/audit.json"
future_final_holdout,data/future_final_holdout,future_final_holdout,EMPTY_LOCKED_INTAKE,"完成准入审计后的单次最终评估","训练、调参、阈值选择、特征设计或反复查看结果","当前仅有 README，无音频数据","archive/data_versions/future_final_holdout/README.md"
